en_word,pt_word,frequence
believe ,acreditam,403874
girl ,menina,402557
someone ,alguém,401162
fine ,multar,400530
thanks ,obrigado,395690
wanted ,desejado,392510
kind ,Gentil,392242
coming ,chegando,389949
house ,lar,388585
every ,todo,388520
ok ,OK,388338
through ,Através dos,388127
being ,ser,386528
course ,curso,381816
stay ,fique,378726
left ,deixei,378587
dad ,Papai,378540
enough ,o suficiente,376973
happened ,ocorrido,375703
came ,veio,374486
may ,poderia,373526
mother ,mãe,372846
wrong ,errado,370949
world ,mundo,370620
bad ,mau,369996
might ,poderia,367145
three ,três,366626
today ,hoje,366395
listen ,ouço,365791
another ,outro,365421
understand ,Compreendo,365210
hear ,ouvir,360665
remember ,lembrar,358291
ask ,perguntar,354323
own ,ter,352542
same ,mesmo,348167
show ,mostrar,347408
else ,senão,340756
kill ,matar,339509
talking ,falando,337629
found ,encontrado,337382
next ,próximo,335573
getting ,recebendo,331186
care ,Cuidado,330956
car ,carro,330261
looking ,Procurando,326550
son ,filho,325997
try ,tentar,325748
woman ,mulher,324673
went ,fui,321824
hi ,Oi,320316
dead ,morto,317589
many ,muitos,314850
mind ,mente,312927
wasn ,não era,312240
friend ,amigo,308204
best ,melhor,307071
mom ,mamãe,305139
hell ,inferno,304275
morning ,manhã,303550
trying ,tentando,303288
boy ,Garoto,302508
together ,juntos,302404
yourself ,você mesma,302013
job ,trabalho,298911
saw ,viu,297985
family ,família,294543
real ,real,294536
without ,sem,290509
baby ,bebê,290496
room ,quarto,290206
wouldn ,não,288422
already ,já,287837
move ,jogada,283807
most ,a maioria,283006
seen ,visto,282420
live ,viver,281046
miss ,senhorita,280930
actually ,na realidade,279595
huh ,Hã,274656
shit ,merda,273312
both ,Ambas,270720
heard ,ouviu,269851
once ,uma vez,269704
ready ,pronto,267268
head ,cabeça,266844
called ,chamado,264588
used ,usado,263566
idea ,idéia,263097
knew ,sabia,262988
hold ,aguarde,262367
happy ,feliz,262141
door ,porta,261118
such ,tal,261104
fuck ,Porra,260121
brother ,irmão,259877
also ,também,259803
pretty ,bonito,259500
bit ,pedaço,258929
took ,tomou,258808
haven ,refúgio,258463
yet ,ainda,257947
men ,homens,257319
whole ,todo,257109
start ,começar,256417
use ,usar,256079
while ,enquanto,255970
since ,desde,254427
wife ,esposa,254038
days ,dias,253171
guess ,acho,250320
tomorrow ,amanhã,248729
matter ,matéria,247812
meet ,encontrar,247466
bring ,trazer,247343
tonight ,esta noite,246514
everyone ,todos,246032
run ,corre,244200
wanna ,quer,243109
hard ,duro,242871
ah ,Ah,242456
alone ,sozinho,240475
myself ,Eu mesmo,240460
school ,escola,240176
gone ,se foi,240082
um ,hum,238853
end ,fim,237387
saying ,ditado,236600
phone ,telefone,235246
play ,Toque,233865
looks ,parece,233814
couldn ,não poderia,233368
fucking ,Porra,232845
problem ,problema,232325
few ,alguns,231375
friends ,amigos,230464
gotta ,Tenho que,230351
ago ,atrás,229751
open ,abrir,229669
anyone ,alguém,228332
killed ,morto,228297
hope ,ter esperança,226993
face ,enfrentar,225482
until ,até,225171
lost ,perdido,222398
police ,polícia,221380
excuse ,com licença,219855
turn ,virar,218563
business ,o negócio,215855
case ,caso,215274
wants ,quer,215149
says ,diz,215090
true ,verdadeiro,214773
die ,morrer,214062
heart ,coração,213914
soon ,em breve,213279
each ,cada,211943
worry ,preocupar,211329
later ,mais tarde,208878
year ,ano,208705
watch ,ver,207949
music ,música,207205
hand ,mão,206247
having ,tendo,206106
probably ,provavelmente,202736
beautiful ,lindo,200811
doctor ,médico,198424
sit ,sentar,198149
eat ,comer,197654
thinking ,pensamento,195875
young ,jovem,194810
second ,segundo,193687
working ,trabalhando,193172
water ,agua,193014
person ,pessoa,192652
part ,papel,192248
kids ,crianças,192050
late ,tarde,191989
stuff ,material,190629
exactly ,exatamente,189513
under ,debaixo,189347
death ,morte,189000
minute ,minuto,188958
pay ,pagar,188822
crazy ,louco,188767
forget ,esquecer,188628
everybody ,todo o mundo,188532
kid ,miúdo,187858
change ,mudança,186962
gave ,deram,186445
happen ,acontecer,186041
damn ,droga,184228
five ,cinco,183626
drink ,beber,182580
far ,distante,182287
knows ,sabe,181663
its ,Está,180594
whatever ,qualquer que seja,180082
eyes ,olhos,179260
shut ,fechar,178378
aren ,are,178286
hit ,acertar,177770
taking ,tirando,177667
easy ,fácil,177337
times ,vezes,176522
check ,Verifica,176507
hands ,mãos,176291
minutes ,minutos,175091
deal ,acordo,174929
different ,diferente,174657
means ,significa,174311
point ,ponto,174205
inside ,lado de dentro,174081
makes ,faz,172281
asked ,Perguntou,171740
somebody ,alguém,171596
mine ,minha,170636
making ,fazer,169037
body ,corpo,168798
afraid ,com medo,168774
sleep ,dorme,168103
chance ,chance,167981
dear ,caro,167351
quite ,bastante,166980
four ,quatro,166957
anyway ,de qualquer forma,166702
close ,perto,166677
ain ,Ain,166551
party ,Festa,166137
fun ,Diversão,165693
against ,contra,165033
word ,palavra,164938
comes ,vem,164503
important ,importante,164386
set ,definir,164165
shall ,deve,164162
story ,história,164040
number ,número,163259
daughter ,filha,163071
least ,ao menos,162905
waiting ,espera,162571
hurt ,ferir,161421
wish ,desejar,160204
moment ,momento,159995
fight ,lutar,159911
week ,semana,159444
husband ,esposo,159394
girls ,garotas,159061
rest ,descanso,158976
married ,casado,157817
fire ,incêndio,157532
game ,jogos,157501
nobody ,ninguém,157014
mr ,senhor,156641
children ,crianças,156181
side ,lado,155667
stand ,ficar,155391
read ,ler,154667
though ,no entanto,154479
cut ,cortar,154407
started ,iniciado,154345
sister ,irmã,154095
supposed ,suposto,153117
between ,entre,152520
child ,filho,151864
goes ,vai,151195
hours ,horas,151156
speak ,falar,150927
women ,mulheres,150803
behind ,atras do,148469
almost ,quase,148405
truth ,verdade,148389
blood ,sangue,147913
able ,capaz,147205
lady ,senhora,147121
anymore ,não mais,146903
playing ,jogando,146615
gets ,recebe,146064
shot ,tomada,144772
reason ,razão,144399
trouble ,problema,143235
break ,parar,143107
war ,guerra,142825
city ,cidade,142573
walk ,andar,142055
town ,Cidade,141835
trust ,Confiar em,141327
dr. ,dr.,141231
met ,conheceu,141208
office ,escritório,141140
question ,pergunta,140970
brought ,trouxeram,140661
yours ,Sua,140553
welcome ,Bem-vindo,140327
high ,Alto,140078
wow ,uau,139593
